smiles	idnumber
COCCN1C(=O)C(CC(=O)NC2=CC=CC=C2OC)SC1=NC1=CC=CC=C1	Z48394933
COCCN1C(=O)C(CC(=O)NC2=CC=C3C=CC=CC3=C2)SC1=NC1=CC=CC=C1	Z48394984
COCCN1C(=O)C(CC(=O)NC2=CC=CC([N+](=O)[O-])=C2)SC1=NC1=CC=CC=C1	Z48395035
COCCN1C(=O)C(CC(=O)NC2=CC=CC=C2)SC1=NC1=CC=CC=C1	Z48395086
COCCN1C(=O)C(CC(=O)NC2=CC=C(C)C=C2)SC1=NC1=CC=CC=C1	Z48395137
COCCN1C(=O)C(CC(=O)NC2=CC=C(F)C=C2)SC1=NC1=CC=CC=C1	Z48395188
COCCN1C(=O)C(CC(=O)NC2=CC(OC)=CC=C2OC)SC1=NC1=CC=CC=C1	Z48395239
COCCN1C(=O)C(CC(=O)NC2=CC=CC(Cl)=C2C)SC1=NC1=CC=CC=C1	Z48395290
COCCN1C(=O)C(CC(=O)NC2=CC=CC=C2F)SC1=NC1=CC=CC=C1	Z48395392
COCCN1C(=O)C(CC(=O)NC2=CC=C(C(C)=O)C=C2)SC1=NC1=CC=CC=C1	Z48395443
COCCN1C(=O)C(CC(=O)NC2=C(C)C=CC=C2C)SC1=NC1=CC=CC=C1	Z48395494
COCCN1C(=O)C(CC(=O)NC2=CC=C(OC)C=C2[N+](=O)[O-])SC1=NC1=CC=CC=C1	Z48395545
COCCN1C(=O)C(CC(=O)NC2=CC=CC(Cl)=C2)SC1=NC1=CC=CC=C1	Z48395596
COCCN1C(=O)C(CC(=O)NC2=CC=CC(C(F)(F)F)=C2)SC1=NC1=CC=CC=C1	Z48395698
COCCN1C(=O)C(CC(=O)NC2=CC=CC=C2Br)SC1=NC1=CC=CC=C1	Z48395800
COCCN1C(=O)C(CC(=O)NC2=CC=CC3=CC=CC=C23)SC1=NC1=CC=CC=C1	Z48395902
COCCN1C(=O)C(CC(=O)NC2=CC(Cl)=CC=C2OC)SC1=NC1=CC=CC=C1	Z48395953
COCCN1C(=O)C(CC(=O)NC2=CC=C(C)C(Cl)=C2)SC1=NC1=CC=CC=C1	Z48396004
COCCN1C(=O)C(CC(=O)NC2=CC=C(F)C(Cl)=C2)SC1=NC1=CC=CC=C1	Z230313702
