smiles	idnumber
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C(C)(C)CF)C1	m_275592____15407892____15843002____15857052
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2=N[NH]C(CO)=C2)C1	m_275592____15407892____15843002____15862068
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)CC2OCCCO2)C1	m_275592____15407892____15843002____13186744
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)CC2=CN=NS2)C1	m_275592____15407892____15843002____15862548
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2CSC2)C1	m_275592____15407892____15843002____15855552
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C(C)CF)C1	m_275592____15407892____15843002____15862566
CCC(CC(=O)N1CCC[C@H](CNC(=O)C(C)C(O)CC)C1)OC	m_275592____15407892____15843002____15864096
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2(SC)CC2)C1	m_275592____15407892____15843002____15857232
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)CCCC2CCC2)C1	m_275592____15407892____15843002____15859702
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2CC(C)(CC)C2)C1	m_275592____15407892____15843002____15863136
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2CC(C(C)C)C2)C1	m_275592____15407892____15843002____15864230
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2CCCC2CC)C1	m_275592____15407892____15843002____14133804
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C(C)(C)CCC#N)C1	m_275592____15407892____15843002____15860558
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2=C(Cl)OC=C2)C1	m_275592____15407892____15843002____13186768
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)CC2CC2(C)C)C1	m_275592____15407892____15843002____15862884
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)CC(C)(F)F)C1	m_275592____15407892____15843002____14133808
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C(O)C2CCC2)C1	m_275592____15407892____15843002____15863264
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C(CC(C)C)OC)C1	m_275592____15407892____15843002____14133810
CCCC1(C(=O)N2CCC[C@H](CNC(=O)C(C)C(O)CC)C2)CC1	m_275592____15407892____15843002____14133812
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)[C@]2(C)CCC(=O)N2)C1	m_275592____15407892____15843002____14133814
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2=CN=C(C)O2)C1	m_275592____15407892____15843002____15858272
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2=NSC(C)=C2)C1	m_275592____15407892____15843002____13186772
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2=COC(=O)[NH]2)C1	m_275592____15407892____15843002____15863596
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C(C)(C)CC#N)C1	m_275592____15407892____15843002____15859806
CCC1=NOC=C1C(=O)N1CCC[C@H](CNC(=O)C(C)C(O)CC)C1	m_275592____15407892____15843002____14133818
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2=CN=NN2CC)C1	m_275592____15407892____15843002____13186834
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)CC2OCCO2)C1	m_275592____15407892____15843002____15857568
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2=C(C)N(C)C=C2)C1	m_275592____15407892____15843002____14133822
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2=CC(O)=NN2C)C1	m_275592____15407892____15843002____15862272
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C(COC)OC)C1	m_275592____15407892____15843002____14133826
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C(F)C(C)(C)O)C1	m_275592____15407892____15843002____15862558
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C(O)COC)C1	m_275592____15407892____15843002____15858990
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)CC2CCC(O)C2)C1	m_275592____15407892____15843002____15860236
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2(C)CCC(C)C2)C1	m_275592____15407892____15843002____15859064
CCOC1(C(=O)N2CCC[C@H](CNC(=O)C(C)C(O)CC)C2)CCC1	m_275592____15407892____15843002____15863948
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)CCC2CC2(C)C)C1	m_275592____15407892____15843002____15861942
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C(C)C2CCCO2)C1	m_275592____15407892____15843002____14133830
