smiles	idnumber
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2=C(O)C(C)=N[NH]2)C1	m_275592____15407892____15843002____13186664
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C23CCCCC2C3)C1	m_275592____15407892____15843002____14133834
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2(C(C)C)CC2)C1	m_275592____15407892____15843002____14133836
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)[C@@H](O)C2CCCC2)C1	m_275592____15407892____15843002____15860990
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2=CN=CC=C2C#N)C1	m_275592____15407892____15843002____15856502
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)CCC2=CON=C2)C1	m_275592____15407892____15843002____15861604
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C(C)(C)C(F)F)C1	m_275592____15407892____15843002____14133840
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2(CO)CCCO2)C1	m_275592____15407892____15843002____15861764
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)CC2=C(C)C=CO2)C1	m_275592____15407892____15843002____14133842
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2=CN(C)C=C2C)C1	m_275592____15407892____15843002____15860784
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2=CC=C(C#N)[NH]2)C1	m_275592____15407892____15843002____13186674
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)CC2(CO)CC2)C1	m_275592____15407892____15843002____15855560
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2(C(C)C)COC2)C1	m_275592____15407892____15843002____15861502
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2(CC)COC2)C1	m_275592____15407892____15843002____15859370
CCC1=C(C(=O)N2CCC[C@H](CNC(=O)C(C)C(O)CC)C2)OC=N1	m_275592____15407892____15843002____14133844
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)CC(C)(C)C2CC2)C1	m_275592____15407892____15843002____13186832
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2=NN(C)C=N2)C1	m_275592____15407892____15843002____13186824
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2=CC=C(CO)O2)C1	m_275592____15407892____15843002____15859816
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2(CF)CC2)C1	m_275592____15407892____15843002____14133872
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2CC3(CC3)C2)C1	m_275592____15407892____15843002____14133874
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C2=NN=C(C)C(C)=N2)C1	m_274310____15407890____15939384____15869942
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2=NC=NC(C)=C2)C1	m_275592____15407892____15843002____13186670
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)CC2(O)CCCC2)C1	m_275592____15407892____15843002____15855696
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2=CC(N)=CC=N2)C1	m_275592____15407892____15843002____15859176
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C(C)C2=CC=CO2)C1	m_275592____15407892____15843002____14133916
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)CCC2CCOC2)C1	m_275592____15407892____15843002____13186622
CCOC1=CC=NC(N2CCC[C@H](CNC(=O)C(C)C(O)CC)C2)=N1	m_274310____15407890____15939384____15869864
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)CN2N=CC=C2C)C1	m_275592____15407892____15843002____14134288
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C(C)N2C=CC=C2)C1	m_275592____15407892____15843002____13186668
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)CC2CCCCO2)C1	m_275592____15407892____15843002____13186632
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2CC2(C)C)C1	m_275592____15407892____15843002____13186672
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2=C(C)N=C(C)O2)C1	m_275592____15407892____15843002____13186584
CCC1=C(C(=O)N2CCC[C@H](CNC(=O)C(C)C(O)CC)C2)C=NO1	m_275592____15407892____15843002____14134304
CCC1=NC(C(=O)N2CCC[C@H](CNC(=O)C(C)C(O)CC)C2)=CO1	m_275592____15407892____15843002____13186718
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)CC2=CSC=N2)C1	m_275592____15407892____15843002____14134318
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)CS(=O)CC)C1	m_275592____15407892____15843002____15857902
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)[C@H](C)NC(N)=O)C1	m_275592____15407892____15843002____13186742
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2CCC(=O)N2C)C1	m_275592____15407892____15843002____15859720
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2CCCC2O)C1	m_275592____15407892____15843002____15855698
CCC1=CC(C)=NC(N2CCC[C@H](CNC(=O)C(C)C(O)CC)C2)=N1	m_274310____15407890____15939384____12170180
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)CC2=COC=C2)C1	m_275592____15407892____15843002____13186732
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2=NC=C(F)C=N2)C1	m_275592____15407892____15843002____15857050
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C2=NC=NC(C(F)F)=C2)C1	m_274310____15407890____15939384____15869834
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2=COC(Cl)=C2)C1	m_275592____15407892____15843002____15860876
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C2=NC(C3CC3)=NS2)C1	m_274310____15407890____15939384____12170056
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C2=CC(=O)N(C)C=N2)C1	m_274310____15407890____15939384____15870472
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)CN2CCC2)C1	m_275592____15407892____15843002____15855766
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2(F)CCOCC2)C1	m_275592____15407892____15843002____14134790
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)CCC2=C[NH]C=N2)C1	m_275592____15407892____15843002____14134792
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C2=C3[NH]C(C)=CC3=NC=N2)C1	m_274310____15407890____15939384____15869892
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2=C(C)SN=C2)C1	m_275592____15407892____15843002____15859338
CCOC1C(C)C1C(=O)N1CCC[C@H](CNC(=O)C(C)C(O)CC)C1	m_275592____15407892____15843002____15857420
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)[C@H]2C[C@@H](O)C2)C1	m_275592____15407892____15843002____15862874
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C2=NC3=C(O2)C(C)=CC=C3)C1	m_274310____15407890____15939384____12170110
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C2=NC=C(C#N)C(C)=C2)C1	m_274310____15407890____15939384____15869728
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C2=NN=CO2)C1	m_274310____15407890____15939384____15869600
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C2=NN(C)N=N2)C1	m_274310____15407890____15939384____15870238
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C2=NC=CC=N2)C1	m_274310____15407890____15939384____12170128
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C(=O)C2=CC=NN=C2C)C1	m_275592____15407892____15843002____14135266
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C2=NC=NC(C(N)=O)=C2)C1	m_274310____15407890____15939384____15870140
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C2=NC=C(C#N)C=C2F)C1	m_274310____15407890____15939384____12650238
CCC(O)C(C)C(=O)NC[C@H]1CCCN(C2=NC=C(F)C=N2)C1	m_274310____15407890____15939384____12185794
